Run Number:,0,Parameters:,75000 s,Executable:,sort,Results File:,Source/sorts/75000 s_results.txt,Baseline CPU Temp:,60,Avg Room Temp:,23.2,Avg Volts:,5.2408
Script Delta:,21.278406620025635,Script Start:,1627322692.2542841,Script End:,1627322713.5326908,Cooldown Delta:,5.00971794128418,Cooldown Start:,1627322715.792425,Cooldown End:,1627322720.8021429,Warmup Delta:,0.03336334228515625,Warmup Start:,1627322692.2197669,Warmup End:,1627322692.2531302
 
time,cpu,load,dht,watts,wattHours
1627322689.9585469,53.069,0.07,24.3,2.2116,0.000390280303030303
1627322695.960724,56.965,0.47,22.7,2.0072,0.0007098863636363636
1627322701.9667761,57.939,0.51,22.6,2.0072,0.0010140075757575757
1627322707.970656,59.887,0.55,0.0,2.4108,0.0013487045454545453
1627322713.9766958,58.913,0.62,0.0,2.416,0.0013487045454545453
 
Run Number:,1,Parameters:,75000 i,Executable:,sort,Results File:,Source/sorts/75000 i_results.txt,Baseline CPU Temp:,60,Avg Room Temp:,22.7,Avg Volts:,5.2408
Script Delta:,29.02769136428833,Script Start:,1627322731.3620017,Script End:,1627322760.389693,Cooldown Delta:,5.009433269500732,Cooldown Start:,1627322762.6494699,Cooldown End:,1627322767.6589031,Warmup Delta:,0.03000473976135254,Warmup Start:,1627322731.331126,Warmup End:,1627322731.3611307
 
time,cpu,load,dht,watts,wattHours
1627322729.0703118,55.991,0.48,22.7,2.5208,0
1627322735.07072,58.426,0.52,22.7,4.5385,0.0005347954545454546
1627322741.0767827,58.913,0.56,22.7,4.549,0.0012232424242424244
1627322747.0806603,59.887,0.6,0.0,4.5543,0.001912886363636364
1627322753.0867054,60.374,0.63,0.0,4.57,0.002604121212121212
1627322759.0906663,60.861,0.69,0.0,4.5595,0.00329575
 
Run Number:,2,Parameters:,75000 b,Executable:,sort,Results File:,Source/sorts/75000 b_results.txt,Baseline CPU Temp:,60,Avg Room Temp:,22.7,Avg Volts:,5.2408
Script Delta:,60.407861948013306,Script Start:,1627322778.216135,Script End:,1627322838.623997,Cooldown Delta:,15.026235103607178,Cooldown Start:,1627322840.8838193,Cooldown End:,1627322855.9100544,Warmup Delta:,0.028351783752441406,Warmup Start:,1627322778.187089,Warmup End:,1627322778.2154408
 
time,cpu,load,dht,watts,wattHours
1627322775.926376,55.991,0.67,22.7,4.57,0
1627322781.932446,58.913,1.02,22.7,4.5752,0.0006928181818181817
1627322787.938476,59.4,1.02,22.7,4.5647,0.0013852348484848483
1627322793.9445019,59.887,1.01,0.0,4.6067,0.0020800378787878783
1627322799.9505224,60.861,1.01,0.0,4.5857,0.0027764318181818176
1627322805.9565473,60.374,1.01,0.0,4.5857,0.0034712348484848476
1627322811.962579,60.861,1.01,0.0,4.6014,0.004167227272727272
1627322817.968616,59.887,1.01,0.0,2.6728,0.004718303030303029
1627322823.9746544,60.374,1.01,0.0,2.5261,0.00511215909090909
1627322829.9806788,60.861,1.01,0.0,2.4265,0.00548735606060606
1627322835.9867036,61.348,1.01,0.0,2.5208,0.005862151515151515
 
