Read times - Voltage graph	Voltage(V) - Voltage graph
2135	5.24
2136	5.23
2137	5.24
2138	5.24
2139	5.24
2140	5.24
2141	5.24
2142	5.24
2143	5.24
2144	5.24
2145	5.24
2146	5.24
2147	5.24
2148	5.24
2149	5.24
2150	5.24
2151	5.24
2152	5.24
2153	5.24
2154	5.24
2155	5.24
2156	5.24
2157	5.24
2158	5.24
2159	5.23
2160	5.24
2161	5.24
2162	5.24
2163	5.24
2164	5.24
2165	5.24
2166	5.24
2167	5.24
2168	5.24
2169	5.24
2170	5.24
2171	5.24
2172	5.24
2173	5.24
2174	5.24
2175	5.24
2176	5.24
2177	5.24
2178	5.24
2179	5.24
2180	5.24
2181	5.24
2182	5.24
2183	5.23
2184	5.24
2185	5.24
2186	5.24
2187	5.24
2188	5.24
2189	5.24
2190	5.24
2191	5.24
2192	5.24
2193	5.24
2194	5.24
2195	5.24
2196	5.24
2197	5.24
2198	5.24
2199	5.24
2200	5.24
2201	5.24
2202	5.24
2203	5.24
2204	5.24
2205	5.24
2206	5.24
2207	5.24
2208	5.24
2209	5.24
2210	5.24
2211	5.24
2212	5.24
2213	5.24
2214	5.24
2215	5.24
2216	5.24
2217	5.24
2218	5.24
2219	5.24
2220	5.24
2221	5.24
2222	5.24
2223	5.24
2224	5.24
2225	5.24
2226	5.24
2227	5.24
2228	5.24
2229	5.24
2230	5.24
2231	5.24
2232	5.24
2233	5.24
2234	5.24
2235	5.24
2236	5.24
2237	5.24
2238	5.24
2239	5.24
2240	5.24
2241	5.24
2242	5.24
2243	5.24
2244	5.24
2245	5.24
2246	5.24
2247	5.24
2248	5.24
2249	5.24
2250	5.24
2251	5.24
2252	5.24
2253	5.24
2254	5.24
2255	5.25
2256	5.25
2257	5.26
2258	5.26
2259	5.26
2260	5.25
2261	5.24
2262	5.24
2263	5.24
2264	5.24
2265	5.25
2266	5.24
2267	5.24
2268	5.24
2269	5.24
2270	5.24
2271	5.24
2272	5.25
2273	5.26
2274	5.26
2275	5.26
2276	5.26
2277	5.26
2278	5.26
2279	5.26
2280	5.24
2281	5.24
2282	5.24
2283	5.24
2284	5.24
2285	5.24
2286	5.24
2287	5.25
2288	5.26
2289	5.26
2290	5.26
2291	5.26
2292	5.24
2293	5.24
2294	5.24
2295	5.24
2296	5.24
2297	5.24
2298	5.24
2299	5.26
