Read times - Voltage graph	Voltage(V) - Voltage graph
529	5.24
530	5.24
531	5.24
532	5.24
533	5.24
534	5.24
535	5.24
536	5.24
537	5.24
538	5.24
539	5.24
540	5.24
541	5.24
542	5.24
543	5.24
544	5.24
545	5.24
546	5.24
547	5.24
548	5.24
549	5.24
550	5.24
551	5.24
552	5.24
553	5.24
554	5.24
555	5.24
556	5.24
557	5.24
558	5.24
559	5.24
560	5.24
561	5.24
562	5.24
563	5.24
564	5.24
565	5.24
566	5.24
567	5.24
568	5.24
569	5.24
570	5.24
571	5.24
572	5.24
573	5.24
574	5.24
575	5.24
576	5.24
577	5.24
578	5.24
579	5.24
580	5.24
581	5.24
582	5.24
583	5.24
584	5.24
585	5.24
586	5.24
587	5.24
588	5.24
589	5.24
590	5.24
591	5.24
592	5.24
593	5.24
594	5.24
595	5.24
596	5.24
597	5.24
598	5.24
599	5.24
600	5.24
601	5.24
602	5.24
603	5.24
604	5.24
605	5.24
606	5.24
607	5.24
608	5.24
609	5.24
610	5.24
611	5.24
612	5.24
613	5.24
614	5.24
615	5.24
616	5.24
617	5.24
618	5.24
619	5.24
620	5.24
621	5.24
622	5.24
623	5.24
624	5.24
625	5.24
626	5.24
627	5.24
628	5.24
629	5.24
630	5.24
631	5.24
632	5.24
633	5.24
634	5.24
635	5.24
636	5.24
637	5.24
638	5.24
639	5.24
640	5.24
641	5.24
642	5.24
643	5.24
644	5.24
645	5.24
646	5.24
647	5.24
648	5.24
649	5.24
650	5.24
651	5.24
652	5.24
653	5.24
654	5.24
655	5.24
656	5.24
657	5.24
658	5.24
659	5.24
660	5.24
661	5.24
662	5.24
663	5.24
664	5.24
665	5.24
666	5.24
667	5.24
668	5.24
669	5.24
670	5.24
671	5.24
672	5.24
673	5.24
674	5.24
675	5.24
676	5.24
677	5.24
678	5.24
679	5.24
680	5.24
681	5.24
682	5.24
683	5.24
684	5.24
685	5.24
686	5.24
687	5.24
688	5.24
689	5.24
690	5.24
691	5.24
692	5.24
693	5.24
694	5.24
695	5.24
696	5.24
697	5.24
698	5.24
699	5.24
700	5.24
701	5.24
702	5.24
703	5.24
704	5.24
705	5.24
706	5.24
707	5.24
708	5.24
709	5.24
710	5.24
711	5.24
712	5.24
713	5.24
714	5.24
715	5.24
716	5.24
717	5.24
718	5.24
719	5.24
720	5.24
721	5.24
722	5.24
723	5.24
724	5.24
725	5.24
726	5.24
727	5.24
728	5.24
729	5.24
730	5.23
731	5.24
732	5.24
733	5.24
734	5.24
735	5.24
736	5.24
737	5.24
738	5.24
739	5.24
740	5.24
741	5.24
742	5.24
743	5.24
744	5.24
745	5.24
746	5.24
747	5.24
748	5.24
749	5.24
750	5.24
751	5.24
752	5.24
753	5.24
754	5.25
755	5.25
756	5.26
757	5.26
758	5.26
759	5.26
760	5.26
761	5.26
762	5.26
763	5.26
764	5.26
765	5.24
766	5.24
767	5.24
768	5.24
769	5.24
770	5.25
771	5.24
772	5.24
773	5.24
774	5.25
775	5.24
776	5.24
777	5.24
778	5.24
779	5.24
780	5.24
781	5.25
782	5.24
783	5.24
784	5.24
785	5.25
786	5.24
787	5.24
788	5.25
789	5.25
790	5.25
791	5.25
792	5.24
793	5.25
794	5.24
795	5.24
796	5.24
797	5.24
798	5.24
799	5.24
800	5.24
801	5.24
802	5.24
803	5.25
804	5.24
805	5.25
806	5.25
807	5.25
808	5.24
809	5.25
810	5.23
811	5.24
812	5.24
813	5.24
814	5.24
815	5.24
816	5.24
817	5.24
818	5.24
819	5.24
820	5.24
821	5.24
822	5.24
823	5.24
824	5.24
825	5.24
826	5.24
827	5.24
828	5.24
829	5.24
830	5.24
831	5.24
832	5.24
833	5.24
834	5.24
835	5.24
836	5.24
837	5.24
838	5.24
839	5.24
840	5.24
841	5.24
842	5.24
843	5.24
844	5.24
845	5.24
846	5.24
847	5.24
848	5.24
849	5.24
850	5.24
851	5.24
852	5.24
853	5.24
854	5.24
855	5.24
856	5.24
857	5.24
858	5.24
859	5.24
860	5.24
861	5.24
862	5.24
863	5.24
864	5.24
865	5.24
866	5.24
867	5.24
868	5.24
869	5.24
870	5.24
871	5.24
872	5.24
873	5.24
874	5.24
875	5.24
876	5.24
877	5.24
878	5.24
879	5.24
880	5.24
881	5.24
882	5.24
883	5.24
884	5.24
885	5.24
886	5.24
887	5.24
888	5.24
889	5.24
890	5.24
891	5.24
892	5.24
893	5.24
894	5.24
895	5.24
896	5.24
897	5.24
898	5.24
899	5.24
900	5.24
901	5.24
902	5.24
903	5.24
904	5.24
905	5.24
906	5.24
907	5.24
908	5.24
909	5.24
910	5.24
911	5.24
912	5.24
913	5.24
914	5.24
915	5.24
916	5.24
917	5.24
918	5.24
919	5.24
920	5.24
921	5.24
922	5.24
923	5.24
924	5.24
925	5.24
926	5.24
927	5.24
928	5.24
929	5.24
930	5.24
931	5.24
932	5.24
933	5.24
934	5.24
935	5.24
936	5.24
937	5.24
938	5.24
939	5.24
940	5.24
941	5.24
942	5.24
943	5.24
944	5.24
945	5.24
946	5.24
947	5.24
948	5.24
949	5.24
950	5.24
951	5.24
952	5.24
953	5.24
954	5.24
955	5.24
956	5.24
957	5.24
958	5.24
959	5.24
960	5.24
961	5.24
962	5.24
963	5.24
964	5.24
965	5.24
966	5.24
967	5.24
968	5.24
969	5.24
970	5.24
971	5.24
972	5.24
973	5.24
974	5.24
975	5.24
976	5.24
977	5.24
978	5.24
979	5.24
980	5.24
981	5.24
982	5.24
983	5.24
984	5.24
985	5.24
986	5.24
987	5.24
988	5.24
989	5.24
990	5.24
991	5.24
992	5.24
993	5.24
994	5.24
995	5.24
996	5.24
997	5.24
998	5.24
999	5.24
1000	5.24
1001	5.24
1002	5.24
1003	5.24
1004	5.24
1005	5.24
1006	5.24
1007	5.24
1008	5.24
1009	5.24
1010	5.24
1011	5.24
1012	5.24
1013	5.24
1014	5.24
1015	5.24
1016	5.24
1017	5.24
1018	5.24
1019	5.24
1020	5.24
1021	5.24
1022	5.24
1023	5.24
1024	5.24
1025	5.24
1026	5.24
1027	5.24
1028	5.24
1029	5.24
1030	5.24
1031	5.24
1032	5.24
1033	5.24
1034	5.24
1035	5.24
1036	5.24
1037	5.24
1038	5.24
1039	5.24
1040	5.24
1041	5.24
1042	5.24
1043	5.24
1044	5.24
1045	5.24
1046	5.24
1047	5.24
1048	5.24
1049	5.24
1050	5.24
1051	5.24
1052	5.24
1053	5.24
1054	5.24
1055	5.24
1056	5.24
1057	5.24
1058	5.24
1059	5.24
1060	5.24
1061	5.24
1062	5.24
1063	5.24
1064	5.24
1065	5.24
1066	5.24
1067	5.24
1068	5.24
1069	5.24
1070	5.24
1071	5.24
1072	5.24
1073	5.24
1074	5.24
1075	5.24
1076	5.24
1077	5.24
1078	5.24
1079	5.24
1080	5.24
1081	5.24
1082	5.24
1083	5.24
1084	5.24
1085	5.24
1086	5.24
1087	5.24
1088	5.24
1089	5.24
1090	5.24
1091	5.24
1092	5.24
1093	5.24
1094	5.24
1095	5.24
1096	5.24
1097	5.24
1098	5.24
1099	5.24
1100	5.24
1101	5.24
1102	5.24
1103	5.24
1104	5.24
1105	5.24
1106	5.24
1107	5.24
1108	5.24
1109	5.24
1110	5.24
1111	5.24
1112	5.24
1113	5.24
1114	5.24
1115	5.24
1116	5.24
1117	5.24
1118	5.24
1119	5.24
1120	5.24
1121	5.24
1122	5.24
1123	5.24
1124	5.24
1125	5.24
1126	5.24
1127	5.24
1128	5.24
1129	5.24
1130	5.23
1131	5.24
1132	5.24
1133	5.24
1134	5.24
1135	5.24
1136	5.24
1137	5.24
1138	5.24
1139	5.24
1140	5.24
1141	5.24
1142	5.24
1143	5.24
1144	5.24
1145	5.24
1146	5.24
1147	5.24
1148	5.24
1149	5.24
1150	5.24
1151	5.24
1152	5.24
1153	5.24
1154	5.24
1155	5.24
1156	5.24
1157	5.24
1158	5.24
1159	5.24
1160	5.24
1161	5.24
1162	5.24
1163	5.24
1164	5.24
1165	5.24
1166	5.24
1167	5.24
1168	5.24
1169	5.24
1170	5.24
1171	5.24
1172	5.24
1173	5.24
1174	5.24
1175	5.24
1176	5.24
1177	5.24
1178	5.24
1179	5.24
1180	5.24
1181	5.24
1182	5.24
1183	5.24
1184	5.24
1185	5.24
1186	5.24
1187	5.24
1188	5.24
1189	5.24
1190	5.24
1191	5.25
1192	5.25
1193	5.26
1194	5.26
1195	5.26
1196	5.26
1197	5.26
1198	5.26
1199	5.26
1200	5.26
1201	5.24
1202	5.24
1203	5.24
1204	5.24
1205	5.24
1206	5.24
1207	5.24
1208	5.24
1209	5.24
1210	5.24
1211	5.25
1212	5.24
1213	5.24
1214	5.24
1215	5.24
1216	5.25
1217	5.25
1218	5.24
1219	5.24
1220	5.24
1221	5.25
1222	5.24
1223	5.25
1224	5.24
1225	5.24
1226	5.24
1227	5.24
1228	5.24
1229	5.24
1230	5.25
1231	5.24
1232	5.25
1233	5.24
1234	5.24
1235	5.24
1236	5.25
1237	5.25
1238	5.24
1239	5.24
1240	5.24
1241	5.25
1242	5.24
1243	5.24
1244	5.25
1245	5.24
1246	5.25
1247	5.25
1248	5.25
1249	5.25
1250	5.24
1251	5.24
1252	5.24
1253	5.24
1254	5.25
1255	5.24
1256	5.25
1257	5.24
1258	5.24
1259	5.25
1260	5.24
1261	5.24
1262	5.24
1263	5.24
1264	5.24
1265	5.26
1266	5.26
1267	5.26
1268	5.24
1269	5.24
1270	5.25
1271	5.24
1272	5.24
1273	5.24
1274	5.25
1275	5.24
1276	5.25
1277	5.24
1278	5.24
1279	5.24
1280	5.24
1281	5.25
1282	5.24
1283	5.24
1284	5.25
1285	5.24
1286	5.24
1287	5.24
1288	5.25
1289	5.24
1290	5.24
1291	5.24
1292	5.24
1293	5.24
1294	5.24
1295	5.24
1296	5.25
1297	5.25
1298	5.24
1299	5.25
1300	5.24
1301	5.25
1302	5.25
1303	5.24
1304	5.25
1305	5.24
1306	5.24
1307	5.24
1308	5.25
1309	5.24
1310	5.24
1311	5.25
1312	5.24
1313	5.25
1314	5.24
1315	5.25
1316	5.25
1317	5.25
1318	5.24
1319	5.25
1320	5.25
1321	5.24
1322	5.25
1323	5.25
1324	5.24
1325	5.24
1326	5.25
1327	5.24
1328	5.24
1329	5.24
1330	5.25
1331	5.25
1332	5.24
1333	5.24
1334	5.24
1335	5.24
1336	5.24
1337	5.24
1338	5.24
1339	5.24
1340	5.24
1341	5.24
1342	5.24
1343	5.24
1344	5.24
1345	5.24
1346	5.24
1347	5.24
1348	5.24
1349	5.24
1350	5.24
1351	5.24
1352	5.24
1353	5.24
1354	5.24
1355	5.24
1356	5.24
1357	5.24
1358	5.24
1359	5.24
1360	5.24
1361	5.24
1362	5.24
1363	5.24
1364	5.24
1365	5.24
1366	5.24
1367	5.24
1368	5.24
1369	5.24
1370	5.24
1371	5.24
1372	5.24
1373	5.24
1374	5.24
1375	5.24
1376	5.24
1377	5.24
1378	5.24
1379	5.24
1380	5.24
1381	5.24
1382	5.24
1383	5.24
1384	5.24
1385	5.24
1386	5.24
1387	5.24
1388	5.24
1389	5.24
1390	5.24
1391	5.23
1392	5.24
1393	5.24
1394	5.24
1395	5.24
1396	5.24
1397	5.24
1398	5.24
1399	5.24
1400	5.24
1401	5.24
1402	5.24
1403	5.24
1404	5.24
1405	5.24
1406	5.24
1407	5.24
1408	5.24
1409	5.24
1410	5.24
1411	5.24
1412	5.24
1413	5.24
1414	5.24
1415	5.24
1416	5.24
1417	5.24
1418	5.24
1419	5.24
1420	5.24
1421	5.24
1422	5.24
1423	5.24
1424	5.24
1425	5.24
1426	5.24
1427	5.24
1428	5.24
1429	5.24
1430	5.24
1431	5.24
1432	5.24
1433	5.24
1434	5.24
1435	5.24
1436	5.24
1437	5.24
1438	5.24
1439	5.24
1440	5.24
1441	5.24
1442	5.24
1443	5.24
1444	5.24
1445	5.24
1446	5.24
1447	5.24
1448	5.24
1449	5.24
1450	5.24
1451	5.24
1452	5.24
1453	5.24
1454	5.24
1455	5.24
1456	5.24
1457	5.24
1458	5.24
1459	5.24
1460	5.24
1461	5.24
1462	5.24
1463	5.24
1464	5.24
1465	5.24
1466	5.24
1467	5.24
1468	5.24
1469	5.24
1470	5.24
1471	5.24
1472	5.24
1473	5.24
1474	5.24
1475	5.24
1476	5.24
1477	5.24
1478	5.24
1479	5.24
1480	5.24
1481	5.24
1482	5.24
1483	5.24
1484	5.24
1485	5.24
1486	5.24
1487	5.24
1488	5.24
1489	5.24
1490	5.24
1491	5.24
1492	5.24
1493	5.24
1494	5.24
1495	5.24
1496	5.24
1497	5.24
1498	5.24
1499	5.24
1500	5.24
1501	5.24
1502	5.24
1503	5.24
1504	5.24
1505	5.24
1506	5.24
1507	5.24
1508	5.24
1509	5.24
1510	5.24
1511	5.24
1512	5.24
1513	5.24
1514	5.24
1515	5.24
1516	5.24
1517	5.24
1518	5.24
1519	5.24
1520	5.24
1521	5.24
1522	5.24
1523	5.24
1524	5.24
1525	5.24
1526	5.24
1527	5.24
1528	5.24
1529	5.24
1530	5.24
1531	5.24
1532	5.24
1533	5.24
1534	5.24
1535	5.24
1536	5.24
1537	5.24
1538	5.24
1539	5.24
1540	5.24
1541	5.24
1542	5.24
1543	5.24
1544	5.24
1545	5.24
1546	5.24
1547	5.24
1548	5.24
1549	5.24
1550	5.24
1551	5.24
1552	5.24
1553	5.24
1554	5.24
1555	5.24
1556	5.24
1557	5.24
1558	5.24
1559	5.24
1560	5.24
1561	5.24
1562	5.24
1563	5.24
1564	5.24
1565	5.24
1566	5.24
1567	5.24
1568	5.24
1569	5.24
1570	5.24
1571	5.24
1572	5.24
1573	5.24
1574	5.24
1575	5.24
1576	5.24
1577	5.24
1578	5.24
1579	5.24
1580	5.24
1581	5.24
1582	5.24
1583	5.24
1584	5.24
1585	5.24
1586	5.24
1587	5.24
1588	5.24
1589	5.24
1590	5.24
1591	5.24
1592	5.24
1593	5.24
1594	5.24
1595	5.24
1596	5.24
1597	5.24
1598	5.24
1599	5.24
1600	5.24
1601	5.24
1602	5.24
1603	5.24
1604	5.23
1605	5.24
1606	5.24
1607	5.24
1608	5.24
1609	5.24
1610	5.24
1611	5.24
1612	5.24
1613	5.24
1614	5.24
1615	5.24
1616	5.23
1617	5.24
1618	5.24
1619	5.24
1620	5.24
1621	5.24
1622	5.24
1623	5.24
1624	5.24
1625	5.24
1626	5.24
1627	5.24
1628	5.24
1629	5.24
1630	5.24
1631	5.24
1632	5.24
1633	5.24
1634	5.24
1635	5.24
1636	5.24
1637	5.24
1638	5.24
1639	5.24
1640	5.24
1641	5.24
1642	5.24
1643	5.24
1644	5.24
1645	5.24
1646	5.24
1647	5.24
1648	5.24
1649	5.24
1650	5.24
1651	5.24
1652	5.24
1653	5.24
1654	5.24
1655	5.24
1656	5.24
1657	5.24
1658	5.24
1659	5.24
1660	5.24
1661	5.24
1662	5.24
1663	5.24
1664	5.24
1665	5.24
1666	5.24
1667	5.24
1668	5.24
1669	5.24
1670	5.24
1671	5.24
1672	5.24
1673	5.24
1674	5.24
1675	5.24
1676	5.24
1677	5.24
1678	5.24
1679	5.24
1680	5.24
1681	5.24
1682	5.24
1683	5.24
1684	5.24
1685	5.24
1686	5.24
1687	5.24
1688	5.24
1689	5.24
1690	5.25
1691	5.25
1692	5.26
1693	5.26
1694	5.26
1695	5.26
1696	5.26
1697	5.26
1698	5.26
1699	5.24
1700	5.24
1701	5.25
1702	5.24
1703	5.25
1704	5.24
1705	5.24
1706	5.24
1707	5.24
1708	5.24
1709	5.24
1710	5.25
1711	5.24
1712	5.24
1713	5.25
1714	5.24
1715	5.24
1716	5.24
1717	5.24
1718	5.24
1719	5.24
1720	5.24
1721	5.24
1722	5.25
1723	5.24
1724	5.24
1725	5.25
1726	5.24
1727	5.25
1728	5.24
1729	5.24
1730	5.24
1731	5.24
1732	5.24
1733	5.24
1734	5.24
1735	5.24
1736	5.25
1737	5.24
1738	5.25
1739	5.24
1740	5.24
1741	5.24
1742	5.24
1743	5.24
1744	5.25
1745	5.24
1746	5.24
1747	5.25
1748	5.24
1749	5.24
1750	5.25
1751	5.24
1752	5.25
1753	5.24
1754	5.24
1755	5.24
1756	5.24
1757	5.24
1758	5.24
1759	5.24
1760	5.25
1761	5.24
1762	5.24
1763	5.25
1764	5.24
1765	5.25
1766	5.25
1767	5.24
1768	5.24
1769	5.24
1770	5.24
1771	5.24
1772	5.24
1773	5.24
1774	5.24
1775	5.24
1776	5.25
1777	5.25
1778	5.24
1779	5.24
1780	5.24
1781	5.24
1782	5.24
1783	5.25
1784	5.24
1785	5.25
1786	5.24
1787	5.25
1788	5.24
1789	5.24
1790	5.24
1791	5.24
1792	5.24
1793	5.24
1794	5.24
1795	5.25
1796	5.25
1797	5.24
1798	5.24
1799	5.25
1800	5.24
1801	5.25
1802	5.24
1803	5.24
1804	5.24
1805	5.24
1806	5.24
1807	5.24
1808	5.25
1809	5.24
1810	5.25
1811	5.24
1812	5.24
1813	5.24
1814	5.25
1815	5.25
1816	5.25
1817	5.25
1818	5.24
1819	5.24
1820	5.24
1821	5.24
1822	5.24
1823	5.25
1824	5.25
1825	5.24
1826	5.24
1827	5.24
1828	5.24
1829	5.25
1830	5.25
1831	5.24
1832	5.25
1833	5.24
1834	5.24
1835	5.24
1836	5.25
1837	5.24
1838	5.24
1839	5.24
1840	5.24
1841	5.24
1842	5.24
1843	5.24
1844	5.24
1845	5.24
1846	5.24
1847	5.25
1848	5.24
1849	5.24
1850	5.24
1851	5.24
1852	5.25
1853	5.24
1854	5.24
1855	5.24
1856	5.24
1857	5.24
1858	5.25
1859	5.25
1860	5.24
1861	5.24
1862	5.24
1863	5.24
1864	5.24
1865	5.24
1866	5.24
1867	5.24
1868	5.24
1869	5.24
1870	5.25
1871	5.25
1872	5.24
1873	5.25
1874	5.25
1875	5.24
1876	5.24
1877	5.24
1878	5.24
1879	5.24
1880	5.24
1881	5.25
1882	5.24
1883	5.24
1884	5.24
1885	5.25
1886	5.25
1887	5.25
1888	5.25
1889	5.24
1890	5.25
1891	5.24
1892	5.25
1893	5.25
1894	5.24
1895	5.25
1896	5.24
1897	5.24
1898	5.24
1899	5.24
1900	5.24
1901	5.24
1902	5.24
1903	5.24
1904	5.25
1905	5.25
1906	5.24
1907	5.25
1908	5.24
1909	5.24
1910	5.24
1911	5.25
1912	5.24
1913	5.24
1914	5.25
1915	5.24
1916	5.25
1917	5.24
1918	5.24
1919	5.24
1920	5.25
1921	5.24
1922	5.24
1923	5.24
1924	5.24
1925	5.24
1926	5.24
1927	5.24
1928	5.25
1929	5.24
1930	5.25
1931	5.24
1932	5.24
1933	5.24
1934	5.24
1935	5.24
1936	5.24
1937	5.24
1938	5.24
1939	5.24
1940	5.24
1941	5.24
1942	5.24
1943	5.24
1944	5.24
1945	5.24
1946	5.25
1947	5.24
1948	5.24
1949	5.25
1950	5.24
1951	5.24
1952	5.24
1953	5.25
1954	5.24
1955	5.24
1956	5.24
1957	5.25
1958	5.22
1959	5.24
1960	5.24
1961	5.24
1962	5.24
1963	5.24
1964	5.24
1965	5.24
1966	5.24
1967	5.24
1968	5.24
1969	5.24
1970	5.24
1971	5.24
1972	5.24
1973	5.24
1974	5.24
1975	5.24
1976	5.24
1977	5.24
1978	5.24
1979	5.24
1980	5.24
1981	5.24
1982	5.23
1983	5.24
1984	5.24
1985	5.24
1986	5.24
1987	5.24
1988	5.24
1989	5.24
1990	5.24
1991	5.24
1992	5.24
1993	5.24
1994	5.23
1995	5.24
1996	5.24
1997	5.24
1998	5.24
1999	5.24
2000	5.24
2001	5.24
2002	5.24
2003	5.24
2004	5.24
2005	5.24
2006	5.24
2007	5.24
2008	5.24
2009	5.24
2010	5.24
2011	5.24
2012	5.24
2013	5.24
2014	5.24
2015	5.24
2016	5.24
2017	5.24
2018	5.24
2019	5.24
2020	5.24
2021	5.24
2022	5.24
2023	5.24
2024	5.24
2025	5.24
2026	5.24
2027	5.24
2028	5.24
2029	5.23
2030	5.24
2031	5.24
2032	5.24
2033	5.24
2034	5.24
2035	5.24
2036	5.24
2037	5.24
2038	5.24
2039	5.24
2040	5.24
2041	5.24
2042	5.24
2043	5.24
2044	5.24
2045	5.24
2046	5.24
2047	5.24
2048	5.24
2049	5.24
2050	5.24
2051	5.24
2052	5.24
2053	5.23
2054	5.24
2055	5.24
2056	5.24
2057	5.24
2058	5.24
2059	5.24
2060	5.24
2061	5.24
2062	5.24
2063	5.24
2064	5.24
2065	5.23
2066	5.24
2067	5.24
2068	5.24
2069	5.24
2070	5.24
2071	5.24
2072	5.24
2073	5.24
2074	5.24
2075	5.24
2076	5.24
2077	5.24
2078	5.24
2079	5.24
2080	5.24
2081	5.24
2082	5.24
2083	5.24
2084	5.24
2085	5.24
2086	5.24
2087	5.24
2088	5.24
2089	5.24
2090	5.24
2091	5.24
2092	5.24
2093	5.24
2094	5.24
2095	5.24
2096	5.24
2097	5.24
2098	5.24
2099	5.24
2100	5.24
2101	5.24
2102	5.24
2103	5.24
2104	5.24
2105	5.24
2106	5.24
2107	5.24
2108	5.24
2109	5.24
2110	5.24
2111	5.24
2112	5.23
2113	5.24
2114	5.24
2115	5.24
2116	5.24
2117	5.24
2118	5.24
2119	5.24
2120	5.24
2121	5.24
2122	5.24
2123	5.24
2124	5.24
2125	5.24
2126	5.24
2127	5.24
2128	5.24
2129	5.24
2130	5.24
2131	5.24
2132	5.24
2133	5.24
2134	5.24
