DS##-	Download Starting was done @ 2022-04-07 18:51:01.408427
UPDATE-*-	Making a new subdirectory for user 115005222949393991754's submission 80 was done @ 2022-04-07 18:51:22.561400
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.570876
UPDATE-*-	Making a new subdirectory for user 100209551339791924855's submission 86 was done @ 2022-04-07 18:51:22.576973
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.586491
UPDATE-*-	Making a new subdirectory for user 110311933563980527519's submission 87 was done @ 2022-04-07 18:51:22.592706
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.602269
UPDATE-*-	Making a new subdirectory for user 110311933563980527519's submission 88 was done @ 2022-04-07 18:51:22.608487
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.617571
UPDATE-*-	Making a new subdirectory for user 110311933563980527519's submission 89 was done @ 2022-04-07 18:51:22.623638
UPDATE-*-	Submission already exists, removing previous submission was done @ 2022-04-07 18:51:22.633085
UPDATE-*-	Making a new subdirectory for user 108956959564457742267's submission 90 was done @ 2022-04-07 18:51:22.639281
DF##-	Download Finished was done @ 2022-04-07 18:51:22.647126
