Run Number,0,Parameters,75000 s,Executable,sort,Results File,Source/sorts/75000 s_results.txt,Baseline CPU Temp,60
Script Delta,20.959500074386597,Script Start,1626718574.0470262,Script End,1626718595.0065262,Cooldown Delta,5.011064529418945,Cooldown Start,1626718597.2646136,Cooldown End,1626718602.2756782,Warmup Delta,0.0337984561920166,Warmup Start,1626718574.0120382,Warmup End,1626718574.0458367
time,cpu,load,dht
1626718571.7500641,55.504,0.13,24.2
1626718577.756147,59.4,0.2
1626718583.7621667,60.861,0.27
1626718589.768188,60.374,0.33
1626718595.7742097,60.861,0.43
Run Number,1,Parameters,75000 i,Executable,sort,Results File,Source/sorts/75000 i_results.txt,Baseline CPU Temp,60
Script Delta,28.617753267288208,Script Start,1626718611.8348532,Script End,1626718640.4526064,Cooldown Delta,20.035239696502686,Cooldown Start,1626718642.7116623,Cooldown End,1626718662.746902,Warmup Delta,0.030648469924926758,Warmup Start,1626718611.8032935,Warmup End,1626718611.833942
time,cpu,load,dht
1626718609.5418372,57.452,0.36,24.2
1626718615.5429394,59.4,0.39
1626718621.5489938,60.861,0.44
1626718627.552878,60.861,0.48
1626718633.558916,61.348,0.52
1626718639.5628738,61.348,0.56
Run Number,2,Parameters,75000 b,Executable,sort,Results File,Source/sorts/75000 b_results.txt,Baseline CPU Temp,60
Script Delta,60.35489797592163,Script Start,1626718672.3055468,Script End,1626718732.6604447,Cooldown Delta,10.018996953964233,Cooldown Start,1626718734.920062,Cooldown End,1626718744.939059,Warmup Delta,0.029628276824951172,Warmup Start,1626718672.2751274,Warmup End,1626718672.3047557
time,cpu,load,dht
1626718670.0137224,56.478,0.39,24.2
1626718676.0198333,59.887,0.63
1626718682.022881,60.861,0.66
1626718688.0289133,61.348,0.69
1626718694.0328743,62.809,0.72
1626718700.0389106,60.861,0.74
1626718706.0428767,62.322,0.78
1626718712.0489104,62.322,0.8
1626718718.0528755,61.348,0.81
1626718724.058913,62.809,0.83
1626718730.0628676,62.322,0.84
